VirusFamily,VirusGenus,VirusSpecies,SeverityDiseaseHumans,KnownMammal_TerrPathogenicity,KnownBirdPathogenicity,KnownOtherAnimalPathogenicity
Picornaviridae,Enterovirus,Enterovirus D,SevereIllness,SevereIllness,None,None
Picornaviridae,Enterovirus,Enterovirus E,None,MildIllness,None,None
Picornaviridae,Enterovirus,Enterovirus F,None,MildIllness,None,None
Picornaviridae,Enterovirus,Enterovirus G,None,None,None,None
Picornaviridae,Enterovirus,Enterovirus H,None,None,None,None
Picornaviridae,Enterovirus,Enterovirus J,None,None,None,None
Reoviridae,Orbivirus,Epizootic hemorrhagic disease virus,None,SevereIllness,None,None
Papillomaviridae,Epsilonpapillomavirus,Epsilonpapillomavirus 1,None,MildIllness,None,None
Herpesviridae,Varicellovirus,Equid alphaherpesvirus 1,None,Deadly,None,None
Herpesviridae,Varicellovirus,Equid alphaherpesvirus 3,None,MildIllness,None,None
Herpesviridae,Varicellovirus,Equid alphaherpesvirus 4,None,SevereIllness,None,None
Herpesviridae,Varicellovirus,Equid alphaherpesvirus 8,None,MildIllness,None,None
Herpesviridae,Varicellovirus,Equid alphaherpesvirus 9,None,None,None,None
Herpesviridae,Percavirus,Equid gammaherpesvirus 2,None,SevereIllness,None,None
Herpesviridae,Percavirus,Equid gammaherpesvirus 5,None,SevereIllness,None,None
Herpesviridae,Unassigned,Equid gammaherpesvirus 7,None,None,None,None
Arteriviridae,Arterivirus,Equine arteritis virus,None,Deadly,None,None
Reoviridae,Orbivirus,Equine encephalosis virus,None,Deadly,None,None
Retroviridae,Spumavirus,Equine foamy virus,None,None,None,None
Retroviridae,Lentivirus,Equine infectious anemia virus,None,SevereIllness,None,None
Adenoviridae,Mastadenovirus,Equine mastadenovirus A,None,Deadly,None,None
Adenoviridae,Mastadenovirus,Equine mastadenovirus B,None,MildIllness,None,None
Picornaviridae,Aphthovirus,Equine rhinitis A virus,None,MildIllness,None,None
Coronaviridae,Torovirus,Equine torovirus,None,MildIllness,None,None
Polyomaviridae,Betapolyomavirus,Equus caballus polyomavirus 1,None,None,None,None
Picornaviridae,Erbovirus,Erbovirus A,None,MildIllness,None,None
Reoviridae,Cardoreovirus,Eriocheir sinensis reovirus,None,None,None,None
Bunyaviridae,Orthobunyavirus,Estero Real orthobunyavirus,None,None,None,None
Papillomaviridae,Etapapillomavirus,Etapapillomavirus 1,None,None,MildIllness,None
Reoviridae,Orbivirus,Eubenangee virus,None,None,None,None
Rhabdoviridae,Lyssavirus,European bat 1 lyssavirus,Deadly,Deadly,None,None
Rhabdoviridae,Lyssavirus,European bat 2 lyssavirus,Deadly,Deadly,None,None
Caliciviridae,Lagovirus,European brown hare syndrome virus,None,Deadly,None,None
Togaviridae,Alphavirus,Everglades virus,None,None,None,None
Reoviridae,Coltivirus,Eyach virus,None,None,None,None
Adenoviridae,Aviadenovirus,Falcon aviadenovirus A,None,None,None,None
Coronaviridae,Bafinivirus,Fathead minnow nidovirus 1,None,None,None,None
Herpesviridae,Varicellovirus,Felid alphaherpesvirus 1,None,MildIllness,None,None
Caliciviridae,Vesivirus,Feline calicivirus,None,SevereIllness,None,None
Retroviridae,Spumavirus,Feline foamy virus,None,None,None,None
Retroviridae,Lentivirus,Feline immunodeficiency virus,None,Deadly,None,None
Retroviridae,Gammaretrovirus,Feline leukemia virus,None,SevereIllness,None,None
Paramyxoviridae,Morbillivirus,Feline morbillivirus,None,None,None,None
Paramyxoviridae,Ferlavirus,Fer-de-Lance paramyxovirus,None,None,None,Deadly
Poxviridae,Alphaentomopoxvirus,Figulus sublaevis entomopoxvirus,None,None,None,None
Retroviridae,Gammaretrovirus,Finkel-Biskis-Jinkins murine sarcoma virus,None,None,None,None
Rhabdoviridae,Unassigned,Flanders virus,None,None,None,None
Arenaviridae,Mammarenavirus,Flexal mammarenavirus,None,None,None,None
Picornaviridae,Aphthovirus,Foot-and-mouth disease virus,None,Deadly,None,None
Arteriviridae,Arterivirus,Forest pouched giant rat arterivirus,None,None,None,None
Togaviridae,Alphavirus,Fort Morgan virus,None,None,None,None
Adenoviridae,Aviadenovirus,Fowl aviadenovirus A,None,None,Deadly,None
Adenoviridae,Aviadenovirus,Fowl aviadenovirus B,None,None,None,None
Adenoviridae,Aviadenovirus,Fowl aviadenovirus C,None,None,Deadly,None
Adenoviridae,Aviadenovirus,Fowl aviadenovirus D,None,None,None,None
Adenoviridae,Aviadenovirus,Fowl aviadenovirus E,None,None,None,None
Poxviridae,Avipoxvirus,Fowlpox virus,None,None,Deadly,None
Bunyaviridae,Phlebovirus,Frijoles phlebovirus,None,None,None,None
Adenoviridae,Siadenovirus,Frog siadenovirus A,None,None,None,None
Retroviridae,Alpharetrovirus,Fujinami sarcoma virus,None,None,SevereIllness,None
Flaviviridae,Flavivirus,Gadgets Gully virus,None,None,None,None
Arenaviridae,Mammarenavirus,Gairo mammarenavirus,None,None,None,None
Herpesviridae,Iltovirus,Gallid alphaherpesvirus 1,None,None,Deadly,None
Herpesviridae,Mardivirus,Gallid alphaherpesvirus 2,None,None,Deadly,None
Herpesviridae,Mardivirus,Gallid alphaherpesvirus 3,None,None,None,None
Parvoviridae,Aveparvovirus,Galliform aveparvovirus 1,None,None,SevereIllness,None
Picornaviridae,Gallivirus,Gallivirus A,None,None,None,None
Bunyaviridae,Orthobunyavirus,Gamboa orthobunyavirus,None,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 1,MildIllness,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 10,None,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 11,None,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 12,None,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 13,None,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 14,None,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 15,None,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 16,None,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 17,None,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 18,None,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 19,None,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 2,MildIllness,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 20,None,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 21,None,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 22,None,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 23,None,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 24,None,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 25,None,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 26,None,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 3,SevereIllness,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 4,MildIllness,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 5,MildIllness,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 6,None,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 7,None,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 8,None,None,None,None
Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 9,None,None,None,None
Retroviridae,Gammaretrovirus,Gardner-Arnstein feline sarcoma virus,None,None,None,None
Poxviridae,Alphaentomopoxvirus,Geotrupes sylvaticus entomopoxvirus,None,None,None,None
Togaviridae,Alphavirus,Getah virus,None,MildIllness,None,None
Paramyxoviridae,Henipavirus,Ghanaian bat henipavirus,None,None,None,None
Retroviridae,Gammaretrovirus,Gibbon ape leukemia virus,None,None,None,None
Poxviridae,Capripoxvirus,Goatpox virus,None,Deadly,None,None
Poxviridae,Gammaentomopoxvirus,Goeldichironomus holoprasinus entomopoxvirus,None,None,None,None
Adenoviridae,Aviadenovirus,Goose aviadenovirus A,None,None,None,None
Polyomaviridae,Alphapolyomavirus,Gorilla gorilla polyomavirus 1,None,None,None,None
Herpesviridae,Lymphocryptovirus,Gorilline gammaherpesvirus 1,None,None,None,None
Reoviridae,Orbivirus,Great Island virus,SickUnknownCause,None,None,None
Adenoviridae,Siadenovirus,Great tit siadenovirus A,None,None,None,None
Hepadnaviridae,Orthohepadnavirus,Ground squirrel hepatitis virus,None,SevereIllness,None,None
Bunyaviridae,Orthobunyavirus,Guajara orthobunyavirus,None,None,None,None
Bunyaviridae,Orthobunyavirus,Guama orthobunyavirus,None,None,None,None
Arenaviridae,Mammarenavirus,Guanarito mammarenavirus,Deadly,None,None,None
Bunyaviridae,Orthobunyavirus,Guaroa orthobunyavirus,SickUnknownCause,None,None,None
Retroviridae,Gammaretrovirus,Guinea pig type-C oncovirus,None,None,None,None
Bunyaviridae,Hantavirus,Hantaan hantavirus,Deadly,None,None,None
Retroviridae,Gammaretrovirus,Hardy-Zuckerman feline sarcoma virus,None,None,None,None
Poxviridae,Leporipoxvirus,Hare fibroma virus,None,SevereIllness,None,None
Retroviridae,Gammaretrovirus,Harvey murine sarcoma virus,None,None,None,None
Coronaviridae,Betacoronavirus,Hedgehog coronavirus 1,None,None,None,None
Poxviridae,Betaentomopoxvirus,Heliothis armigera entomopoxvirus,None,None,None,None
Parvoviridae,Ambidensovirus,Hemipteran ambidensovirus 1,None,None,None,None
Paramyxoviridae,Henipavirus,Hendra virus,Deadly,Deadly,None,None
Hepadnaviridae,Orthohepadnavirus,Hepatitis B virus,SevereIllness,SevereIllness,None,None
Flaviviridae,Hepacivirus,Hepatitis C virus,SevereIllness,MildIllness,None,None
Picornaviridae,Hepatovirus,Hepatovirus A,SevereIllness,SevereIllness,None,None
Hepadnaviridae,Avihepadnavirus,Heron hepatitis B virus,None,None,None,None
Togaviridae,Alphavirus,Highlands J virus,None,SevereIllness,Deadly,None
Herpesviridae,Macavirus,Hippotragine gammaherpesvirus 1,None,None,None,None
Rhabdoviridae,Novirhabdovirus,Hirame novirhabdovirus,None,None,None,None
Bunyaviridae,Nairovirus,Hughes nairovirus,None,None,SevereIllness,None
Herpesviridae,Simplexvirus,Human alphaherpesvirus 1,SevereIllness,None,None,None
Herpesviridae,Simplexvirus,Human alphaherpesvirus 2,MildIllness,None,None,None
Herpesviridae,Varicellovirus,Human alphaherpesvirus 3,SevereIllness,None,None,None
Herpesviridae,Cytomegalovirus,Human betaherpesvirus 5,Deadly,None,None,None
Herpesviridae,Roseolovirus,Human betaherpesvirus 6A,SevereIllness,None,None,None
Herpesviridae,Roseolovirus,Human betaherpesvirus 6B,SevereIllness,None,None,None
Herpesviridae,Roseolovirus,Human betaherpesvirus 7,MildIllness,None,None,None
Coronaviridae,Alphacoronavirus,Human coronavirus 229E,MildIllness,None,None,None
Coronaviridae,Betacoronavirus,Human coronavirus HKU1,SevereIllness,None,None,None
Coronaviridae,Alphacoronavirus,Human coronavirus NL63,SevereIllness,None,None,None
Herpesviridae,Lymphocryptovirus,Human gammaherpesvirus 4,SevereIllness,None,None,None
Herpesviridae,Rhadinovirus,Human gammaherpesvirus 8,Deadly,None,None,None
Retroviridae,Lentivirus,Human immunodeficiency virus 1,Deadly,Deadly,None,None
Retroviridae,Lentivirus,Human immunodeficiency virus 2,Deadly,Deadly,None,None
Adenoviridae,Mastadenovirus,Human mastadenovirus A,Deadly,None,None,None
Adenoviridae,Mastadenovirus,Human mastadenovirus B,Deadly,None,None,None
Adenoviridae,Mastadenovirus,Human mastadenovirus C,Deadly,None,None,None
Adenoviridae,Mastadenovirus,Human mastadenovirus D,MildIllness,None,None,None
Adenoviridae,Mastadenovirus,Human mastadenovirus E,Deadly,None,None,None
Adenoviridae,Mastadenovirus,Human mastadenovirus F,MildIllness,None,None,None
Adenoviridae,Mastadenovirus,Human mastadenovirus G,MildIllness,None,None,None
